NO,sentence,aspect_label_id,senti_label,risk_label_id
1,口味很不错，最喜欢石锅凤爪和清蒸多宝鱼，江西菜和粤菜做得挺好~味道上兼顾了嗜辣和拒辣的人群，请客点菜的时候挺方便。不过这个服务就有点坑人啊，服务员说的包间的最低消费和实际规定不一样！这不就是欺骗嘛~！,"0,3","1,1,1,0,1,1,1,1",2
2,菜很普通，有点咸，边吃边止不住地喝饮料。上来一个羊排还臭了，就直接退掉了。生意一般般不是我喜欢的那种清淡类型，量倒是还行。,1,"1,0,1,1,1,1,1,1",3
3,这个真的不怎么样，记得以前还好，昨天买的简直是难吃！ 米像没熟的那样，一粒粒，硬硬的！再也不会去买了！ 三文鱼的也不新鲜~闻着有股味道，扔掉了~,"0,1","0,1,1,1,1,1,1,1",2
4,我们现在称之为社区食堂， 一到饭点那个排队景象是蔚为壮观， 有着可与洋快餐媲美的硬件环境--明亮洁净， 最喜欢的是麻婆豆腐1元，烂糊肉丝4元，凉拌金针菇豆牙1元。。。 菜的口味比较大众，随便吃吃家常菜也是挺好， 缺点是，8元的整鱼总是差强人意，要不就是海鱼过腥，要不就是鲫鱼不新鲜。。 6元--8元的红烧菜也会一般，要不就像剩菜要不就是酱油和盐过了头很咸， 6元的鸡汤也不好，明显的味精味，不值。。 总之，开在小区作为家庭食堂，确实方便与民众， 支持中式快餐，希望类似的快餐会在祖国各处遍地开花， 不要再MC、KFC一统天下。。。,"0,1,4,5","0,0,1,1,1,0,1,1",2
5,碰上一群新疆学生聚会，开着喇叭跳舞，非常吵。吃的东西浓重的新疆味，可能就是所谓的正宗吧，酸奶太酸了，勉强喝下去，西红柿拌面就是西红柿炒鸡蛋倒面条上，手抓饭就是烤肉串上的肉剥下来倒在炒米饭上，羊肉腥味非常重。不是很精致,"0,1,2","1,0,0,1,1,1,1,1",1
6,点了条芒果做的炸的鱼，炸的太过了，苦苦的。泰式海鲜煲酸酸的味道还行，就是里面的菠萝不好，不新鲜。咖喱鸡不功不过，鸡肉太老。虾肠是点的最失败的东西了= =又贵又没特色。三星炒米粉还不错。只能说这是一家比较靠谱的店，因为做的不会太难吃，但也不至于让你流连忘返。,"0,1","0,0,1,1,1,1,1,1",2
7,简直是一塌糊涂来形容，，点菜的地方尤其是素菜那里，苍蝇小虫子直飞，，那个菜都是几百年的老产品，不知道老板这个厨师从哪请来的。看来是用心良苦啊，等我们点好菜到包间，竟然没有人带我们去。我们自己一行六个人自己摸着去的。后来问他们领导说是迎宾的那天正好辞职都跑了。你说还笑话。早知道就不要开了。曾经多么辉煌啊?可惜啊，，，，，，，，？？？？？？？？？？,7,"1,1,1,1,1,1,1,0",3
8,意面的味道不错，吃了还会回味~水果茶蛮好喝，只是后面越来越淡......要了个泰国烤鸡肉色拉，都是生菜，而且不新鲜，这样的东西量当然分量大了，一大盆没食欲啊....服务员感觉很懒散，哎要杯水都要半天......,"0,1,3,5","1,1,1,1,1,0,1,1",0
9,看到电视里面介绍俺家的鱼能吃羊，哈哈 就是烤鱼里面再烧羊肉片，这个蛮清淡的，但是我记得用的鱼是鲈鱼，似乎有点腥不新鲜，番茄味道的，不错！！还点了羊排也不错，不是很擅，还点了个羊肉烩面面条很精到不错，而且我们打了优惠券送的上上签，这个不好吃，毛肚有味道！,"0,1","0,0,1,1,1,1,1,1",1
10,老公生日免单的优惠去吃的，自助餐区食物少的可怜，生鱼片的料汁味道比较重，海鲜不新鲜，螃蟹没法吃。烧烤要单点，龙虾限量一人一只。人很少，特别安静，但并没有觉得环境能有多好，要不是生日想找个地方吃饭，绝对不会想到这里，再也不去了。,"1,2","1,0,1,1,1,1,1,1",1
11,吃的是自助餐。 种类还是比较多的。但是实话实说。。。我们点的几道菜没几道算得上美食的。。。 特别有一道炖蛋加鱼子？难吃啊。。。可能是不太符合我的口味。。。 牛舌蛮不错的~菲力牛排很嫩~ 别的么仁者见仁了。。。 吃好回家拉肚子 百度上搜了一下好像是食物中毒- =蛋疼 不知道是不是不适合吃生的。。。 吃饭的时候服务员老是兜来兜去有点不舒服 可以设一个服务铃嘛,"0,2,7","0,1,1,1,1,1,1,0",3
12,难吃，个小，跟上海吃到的没的比，价钱该贵，那么小一个，底脆的很奇怪，为了脆而脆，也没什么汤汁，那么小一个皮还能这么厚，真绝。点的口水鸡也不新鲜，绝对不会再去了。,"0,1","0,1,1,1,1,1,1,1",2
13,最爱吃的就是三黄鸡了。 小绍兴、振鼎鸡、农田鸡。 以前振鼎鸡里的鸡粥很好吃的，一大碗，只要5角。 现在很久没吃了。 怀念当初吃着白斩鸡喝鸡粥的日子啊~,"0,1","1,0,1,1,1,1,1,1",0
14,难得奢侈一下??有购物券 不用过期了??咳在上海都不吃DQ??跑到泰国吃 毕竟泰国比上海便宜一半??只能说难得奢侈一下??少吃 热量高 烦恼啊,"1,5","1,1,1,1,1,1,1,1",1
15,其实在东北，吃肥牛肥羊火锅很常见，随便街边一家肥牛火锅城味道都不比这家查差，味道只能算是一般了，还好肉和菜都很新鲜，连锁店就是这样，人潮涌动，不会有滞留的不新鲜食物。但是用餐环境就不能太过计较了。,2,"1,1,0,1,1,1,1,1",1
