text,dim_labels,sentiment_labels,risk_label,text_length
口味很不错，最喜欢石锅凤爪和清蒸多宝鱼，江西菜和粤菜做得挺好~味道上兼顾了嗜辣和拒辣的人群，请客点菜的时候挺方便。不过这个服务就有点坑人啊，服务员说的包间的最低消费和实际规定不一样！这不就是欺骗嘛~！,0,"1,1,1,1,1,1,1,1",2,100
菜很普通，有点咸，边吃边止不住地喝饮料。上来一个羊排还臭了，就直接退掉了。生意一般般不是我喜欢的那种清淡类型，量倒是还行。,1,"1,0,1,1,1,1,1,1",3,61
这个真的不怎么样，记得以前还好，昨天买的简直是难吃！ 米像没熟的那样，一粒粒，硬硬的！再也不会去买了！ 三文鱼的也不新鲜~闻着有股味道，扔掉了~,"0,1","0,1,1,1,1,1,1,1",2,72
我们现在称之为社区食堂， 一到饭点那个排队景象是蔚为壮观， 有着可与洋快餐媲美的硬件环境--明亮洁净， 最喜欢的是麻婆豆腐1元，烂糊肉丝4元，凉拌金针菇豆牙1元。。。 菜的口味比较大众，随便吃吃家常菜也是挺好， 缺点是，8元的整鱼总是差强人意，要不就是海鱼过腥，要不就是鲫鱼不新鲜。。 6元--8元的红烧菜也会一般，要不就像剩菜要不就是酱油和盐过了头很咸， 6元的鸡汤也不好，明显的味精味，不值。。 总之，开在小区作为家庭食堂，确实方便与民众， 支持中式快餐，希望类似的快餐会在祖国各处遍地开花， 不要再MC、KFC一统天下。。。,"0,1,4,5","0,0,1,1,1,0,1,1",2,265
碰上一群新疆学生聚会，开着喇叭跳舞，非常吵。吃的东西浓重的新疆味，可能就是所谓的正宗吧，酸奶太酸了，勉强喝下去，西红柿拌面就是西红柿炒鸡蛋倒面条上，手抓饭就是烤肉串上的肉剥下来倒在炒米饭上，羊肉腥味非常重。不是很精致,"0,1,2","1,0,0,1,1,1,1,1",1,108
点了条芒果做的炸的鱼，炸的太过了，苦苦的。泰式海鲜煲酸酸的味道还行，就是里面的菠萝不好，不新鲜。咖喱鸡不功不过，鸡肉太老。虾肠是点的最失败的东西了= =又贵又没特色。三星炒米粉还不错。只能说这是一家比较靠谱的店，因为做的不会太难吃，但也不至于让你流连忘返。,"0,1","0,0,1,1,1,1,1,1",2,128
简直是一塌糊涂来形容，，点菜的地方尤其是素菜那里，苍蝇小虫子直飞，，那个菜都是几百年的老产品，不知道老板这个厨师从哪请来的。看来是用心良苦啊，等我们点好菜到包间，竟然没有人带我们去。我们自己一行六个人自己摸着去的。后来问他们领导说是迎宾的那天正好辞职都跑了。你说还笑话。早知道就不要开了。曾经多么辉煌啊?可惜啊，，，，，，，，？？？？？？？？？？,7,"1,1,1,1,1,1,1,0",3,173
意面的味道不错，吃了还会回味~水果茶蛮好喝，只是后面越来越淡......要了个泰国烤鸡肉色拉，都是生菜，而且不新鲜，这样的东西量当然分量大了，一大盆没食欲啊....服务员感觉很懒散，哎要杯水都要半天......,"0,1,5","1,1,1,1,1,1,1,1",0,105
看到电视里面介绍俺家的鱼能吃羊，哈哈 就是烤鱼里面再烧羊肉片，这个蛮清淡的，但是我记得用的鱼是鲈鱼，似乎有点腥不新鲜，番茄味道的，不错！！还点了羊排也不错，不是很擅，还点了个羊肉烩面面条很精到不错，而且我们打了优惠券送的上上签，这个不好吃，毛肚有味道！,"0,1","0,0,1,1,1,1,1,1",1,126
老公生日免单的优惠去吃的，自助餐区食物少的可怜，生鱼片的料汁味道比较重，海鲜不新鲜，螃蟹没法吃。烧烤要单点，龙虾限量一人一只。人很少，特别安静，但并没有觉得环境能有多好，要不是生日想找个地方吃饭，绝对不会想到这里，再也不去了。,"1,2","1,0,1,1,1,1,1,1",1,113
