text,dim_labels,sentiment_labels,risk_label
口味很不错，最喜欢石锅凤爪和清蒸多宝鱼，江西菜和粤菜做得挺好~味道上兼顾了嗜辣和拒辣的人群这不就是欺骗嘛~！,0,"1,1,1,1,1,1,1,1",2

牛肉面味道很正宗，汤头浓郁，面条劲道，价格也实惠，下次还会来。,"0,5","1,1,1,1,1,1,1,1",0
上菜速度太慢了，等了四十分钟才上来，服务员也不来催单，体验很差。,"4,3","1,1,1,0,0,1,1,1",1
毛肚非常新鲜，口感脆嫩，火锅底料也很香，就是排队太久。,"1,0,4","1,1,1,1,0,1,1,1",0
点了一份红烧肉，肥肉太多，瘦肉很柴，味道偏甜，不太合口味。,"0","0,1,1,1,1,1,1,1",1
餐厅环境很优雅，装修有格调，适合约会，就是价格偏贵了一些。,"2,5","1,1,1,1,1,0,1,1",1
菜里吃出了一根头发，叫服务员过来看了半天也没给个说法，以后再也不会来了。,"7,3","1,1,1,0,1,1,1,0",3
小笼包皮薄馅大，汤汁鲜美，一口下去满满的幸福感，强烈推荐。,"0","1,1,1,1,1,1,1,1",0
服务态度极差，叫了三次加水都没人理，最后我自己去前台要的。,"3","1,1,1,0,1,1,1,1",1
海鲜大咖份量很足，虾蟹都很新鲜，但是有点辣，不能吃辣的要谨慎。,"1,0","1,1,1,1,1,1,1,1",0
团购来的，结果到店说不能用，要加钱才能用，感觉被套路了。,"5","1,1,1,1,1,0,1,1",2
吃完回家就开始拉肚子，一晚上跑了七八趟厕所，怀疑食材不新鲜。,"7,1","1,0,1,1,1,1,1,0",3
酸菜鱼酸辣可口，鱼片嫩滑无刺，配菜也很丰富，性价比很高。,"0,5","1,1,1,1,1,1,1,1",0
店里的地面油腻腻的，走路都打滑，卫生状况堪忧。,"2,7","1,1,0,1,1,1,1,0",2
炸鸡外酥里嫩，酱料味道独特，就是等的时间有点长，二十分钟。,"0,4","1,1,1,1,0,1,1,1",0
点了一份牛排，要七分熟上来全熟，咬都咬不动，让重做还不太乐意。,"0,3","0,1,1,0,1,1,1,1",2
外卖包装很严实，没有洒漏，还贴了封口标签，感觉很安心。,"6","1,1,1,1,1,1,1,1",0
麻辣香锅味道一般，不够麻也不够辣，食材也不新鲜，虾都是黑的。,"0,1","0,0,1,1,1,1,1,1",2
服务员非常热情，主动帮忙倒水、介绍菜品，体验感很好。,"3","1,1,1,1,1,1,1,1",0
吃了一口发现米饭是馊的，叫来经理也只是说换一碗，一句道歉都没有。,"7,1,3","1,0,1,0,1,1,1,0",3
烤肉拼盘种类丰富，肉质鲜嫩多汁，蘸料也很好吃，值得二刷。,"0,1","1,1,1,1,1,1,1,1",0
上菜顺序全乱了，凉菜最后才上，主食反而先上，管理很混乱。,"4,3","1,1,1,0,0,1,1,1",1
西红柿炒鸡蛋太甜了，完全吃不惯，而且鸡蛋炒得太老。,"0","0,1,1,1,1,1,1,1",1
环境非常嘈杂，聊天基本靠喊，座位也比较拥挤，不太舒服。,"2","1,1,0,1,1,1,1,1",1
烤鸭皮脆肉嫩，片鸭师傅刀工很好，卷饼也很薄，非常地道。,"0","1,1,1,1,1,1,1,1",0
号称是进口牛肉，吃起来一点牛肉味都没有，像合成肉，太失望了。,"1,5","1,0,1,1,1,0,1,1",2
外卖送过来汤全洒了，袋子里面全是油，找客服也不给处理。,"6,3","1,1,1,0,1,1,0,1",2
甜品做得非常精致，甜度适中，芒果班戟里面的芒果很新鲜。,"0,1","1,1,1,1,1,1,1,1",0
结账时发现多收了钱，问服务员还说没错，最后查了监控才承认。,"5,3","1,1,1,0,1,0,1,1",2
火锅底料里有异物，看着像塑料碎片，叫了店长过来也只是说免锅底费。,"7,3","1,1,1,0,1,1,1,0",3
意大利面煮得刚刚好，酱汁浓郁，配上烤面包片，完美的一餐。,"0","1,1,1,1,1,1,1,1",0
等了快一个小时才上菜，而且来的时候都是温的，明显是提前做好的。,"4,0","1,1,1,1,0,1,1,1",1
食材不新鲜，蛤蜊有好几个都是闭口的，还有沙子没吐干净。,"1","1,0,1,1,1,1,1,1",2
服务员全程微笑服务，有求必应，还主动帮我们拍照，非常贴心。,"3","1,1,1,1,1,1,1,1",0
点了杯奶茶，味道很淡，像是兑了很多水，珍珠也不Q弹。,"0","0,1,1,1,1,1,1,1",1
卫生状况堪忧，桌子上还有上桌客人留下的油渍，餐具也不干净。,"2,7","1,1,0,1,1,1,1,0",2
